"RT"	"choice"	"subjID"	"condition"
0.501088	2	2	2
0.784612741	1	2	3
0.492854519	2	2	1
0.542787951	2	2	3
0.401202173	1	2	4
0.517368889	2	2	2
0.634299259	2	2	3
0.651417284	1	2	1
0.417589728	2	2	4
0.492589827	2	2	2
0.834298864	2	2	2
0.793135407	2	2	3
0.667546469	2	2	2
0.350611358	1	2	4
0.484180148	1	2	4
0.651230815	2	2	3
0.884560198	1	2	3
0.668070321	2	2	2
0.592519506	1	2	1
0.602020741	2	2	3
0.892680296	2	2	3
0.608700444	2	2	2
0.542553284	2	2	1
0.542705383	2	2	1
0.601424198	2	2	1
0.468405333	2	2	1
0.492577185	2	2	1
0.626081185	2	2	3
0.583698568	2	2	1
0.52579121	2	2	2
0.425897481	2	2	1
0.592504889	2	2	3
0.592919309	2	2	3
0.660859259	2	2	3
0.884409679	1	2	3
0.676456691	2	2	1
0.584215309	2	2	2
0.609459358	2	2	3
0.726089877	2	2	3
0.384179753	2	2	4
0.667461136	2	2	2
0.617456198	2	2	3
0.517426568	2	2	2
0.402133333	2	2	2
0.284153679	2	2	4
0.57692484	2	2	3
0.717072593	2	2	1
0.402345086	2	2	4
0.709054815	1	2	3
0.450090272	2	2	1
0.609058765	2	2	2
1.05065916	2	2	3
0.717734321	2	2	2
0.526024691	2	2	3
0.46745521	2	2	4
0.559515654	2	2	4
0.651129679	1	2	2
0.668552691	2	2	3
0.459443358	2	2	1
0.300888099	2	2	4
0.52636642	2	2	1
0.767305481	2	2	1
0.609240494	2	2	1
0.502384198	2	2	3
0.242554469	1	2	4
0.859440198	2	2	1
0.759235556	2	2	2
0.825351506	2	2	1
0.525884049	2	2	1
0.609549827	1	2	3
0.425392988	2	2	4
0.576370963	2	2	4
0.634467556	1	2	2
0.451087012	2	2	4
0.701203753	2	2	3
0.585682568	2	2	2
0.717001086	1	2	3
1.15084958	1	2	3
0.567898074	2	2	1
0.692663309	1	2	3
0.492568099	2	2	2
0.534415407	2	2	3
0.583525926	2	2	1
0.626021926	2	2	2
0.485237728	2	2	1
0.56812721	2	2	1
0.417677432	1	2	1
0.441917235	2	2	4
0.560455901	2	2	4
0.685071012	2	2	2
0.200559012	2	2	2
1.192223605	1	2	3
0.659461531	2	2	3
0.700905877	2	2	3
0.635027753	1	2	1
0.585140148	2	2	1
0.434469531	2	2	1
0.691772444	1	2	2
1.001091951	1	2	4
0.434153086	2	2	2
0.742389333	2	2	2
0.78428721	2	2	3
0.58429116	2	2	2
0.609128691	2	2	2
0.651037235	1	2	3
0.53443358	2	2	4
0.550789926	2	2	2
0.759301926	2	2	3
0.568473284	2	2	3
0.59187042	1	2	1
0.417773037	1	2	4
0.535416494	2	2	2
0.708334617	2	2	1
0.684245333	2	2	3
0.692858469	2	2	2
0.567565432	2	2	4
0.542347852	2	2	4
0.442817975	2	2	2
0.409118815	2	2	3
0.567849086	2	2	2
0.392553877	2	2	4
0.509370074	2	2	3
0.417901037	2	2	2
0.786117926	1	2	1
0.400970667	2	2	4
0.367540148	2	2	4
0.684976593	2	2	2
0.476180543	2	2	2
0.592562173	2	2	1
0.58521916	1	2	2
0.692978568	2	2	1
0.709563259	2	2	1
0.609330173	2	2	2
0.36765116	2	2	4
0.559351309	2	2	3
0.701219951	2	2	2
0.501248	2	2	3
0.476041481	2	2	2
0.476354765	2	2	4
0.459635753	2	2	2
0.55084484	2	2	1
0.392920099	1	2	4
0.692888494	2	2	1
0.517713383	2	2	2
0.693169383	2	2	3
0.634514568	2	2	4
0.434715259	1	2	4
0.50144079	2	2	1
0.634594765	2	2	3
0.476005531	2	2	4
0.334994963	2	2	4
0.584690568	2	2	2
0.484411654	1	2	1
0.518347062	2	2	3
0.559475753	2	2	2
0.993365333	1	2	2
1.017322667	2	2	3
0.434078815	2	2	4
0.709350716	2	2	2
0.417906173	2	2	4
0.608685037	1	2	4
0.584278123	1	2	2
0.592625778	2	2	4
0.502121481	2	2	3
0.560470914	2	2	2
0.542468741	2	2	3
0.485903802	2	2	4
0.459010765	1	2	4
0.684391111	2	2	2
0.851077531	2	2	2
0.751198815	2	2	2
0.617871802	2	2	1
0.434376296	1	2	4
0.700585086	2	2	1
0.809249975	2	2	1
0.517604741	1	2	4
0.658296494	1	2	4
1.009241679	2	2	3
0.867566617	1	2	3
0.693498074	2	2	1
